,index,First,Longitude,Latitude,Longitude_difference,Latitude_difference,Month,class
94,94,2023-07-26 10:57:05,125.618,28.056,12.25,-17.031000000000002,7,1.0
95,95,2023-07-26 20:31:05,113.368,45.087,0.12699999999999534,-0.028999999999996362,7,1.0
96,96,2023-07-27 12:35:05,113.241,45.116,-13.123999999999995,18.523,7,1.0
97,97,2023-07-27 20:32:05,126.365,26.593,0.2530000000000001,0.3500000000000014,7,1.0
98,98,2023-07-28 10:50:05,126.112,26.243,13.378,-19.357000000000003,7,1.0
99,99,2023-07-28 20:34:05,112.734,45.6,-0.8710000000000093,-1.0219999999999985,7,1.0
100,100,2023-07-29 12:37:05,113.605,46.622,-12.869,17.301,7,1.0
101,101,2023-07-29 20:27:05,126.474,29.321,0.257000000000005,0.32200000000000273,7,1.0
102,102,2023-07-30 10:54:06,126.217,28.999,9.506,-14.312999999999999,7,1.0
103,103,2023-07-30 20:29:06,116.711,43.312,-0.6189999999999998,-0.8780000000000001,7,1.0
104,104,2023-07-31 12:10:06,117.33,44.19,3.382000000000005,-3.6480000000000032,7,1.0
105,105,2023-07-31 20:24:06,113.948,47.838,1.0079999999999956,0.7920000000000016,7,1.0
106,106,2023-08-01 12:37:06,112.94,47.046,-5.992000000000004,6.750999999999998,8,1.0
107,107,2023-08-01 20:32:06,118.932,40.295,0.25799999999999557,0.16400000000000148,8,1.0
108,108,2023-08-02 11:49:06,118.674,40.131,2.3870000000000005,-3.253,8,1.0
109,109,2023-08-02 20:34:06,116.287,43.384,-0.48799999999999955,-0.7700000000000031,8,1.0
110,110,2023-08-03 12:08:07,116.775,44.154,1.26100000000001,-1.6239999999999952,8,1.0
111,111,2023-08-03 20:30:07,115.514,45.778,0.5109999999999957,0.3719999999999999,8,1.0
112,112,2023-08-04 12:18:07,115.003,45.406,-9.988,14.722999999999999,8,1.0
113,113,2023-08-04 20:34:07,124.991,30.683,0.13700000000000045,0.0779999999999994,8,1.0
114,114,2023-08-05 10:58:07,124.854,30.605,12.388999999999996,-17.796000000000003,8,1.0
115,115,2023-08-05 20:35:07,112.465,48.401,0.26400000000001,0.06099999999999994,8,1.0
116,116,2023-08-06 12:37:07,112.201,48.34,-12.734000000000009,18.370000000000005,8,1.0
117,117,2023-08-06 20:37:07,124.935,29.97,0.1419999999999959,0.09299999999999997,8,1.0
118,118,2023-08-07 10:55:08,124.793,29.877,2.5160000000000053,-5.056999999999999,8,1.0
119,119,2023-08-07 20:38:08,122.277,34.934,1.2660000000000053,2.141999999999996,8,1.0
120,120,2023-08-08 11:15:08,121.011,32.792,-6.109000000000009,13.950000000000003,8,1.0
121,121,2023-08-08 20:48:08,127.12,18.842,1.2680000000000007,3.429999999999998,8,1.0
122,122,2023-08-09 10:26:08,125.852,15.412,1.7680000000000007,-5.124999999999998,8,1.0
123,123,2023-08-09 20:58:08,124.084,20.537,-2.2309999999999945,-5.842000000000002,8,1.0
124,124,2023-08-10 10:40:08,126.315,26.379,-0.6039999999999992,1.2620000000000005,8,1.0
125,125,2023-08-10 20:40:08,126.919,25.117,0.7719999999999914,1.7590000000000003,8,1.0
126,126,2023-08-11 10:35:09,126.147,23.358,0.27000000000001023,-0.9009999999999998,8,1.0
127,127,2023-08-11 20:46:09,125.877,24.259,-0.2289999999999992,-0.7940000000000005,8,1.0
128,128,2023-08-12 10:37:09,126.106,25.053,0.02199999999999136,-0.26899999999999835,8,1.0
129,129,2023-08-12 20:44:09,126.084,25.322,-0.35299999999999443,-1.1129999999999995,8,1.0
130,130,2023-08-13 10:37:09,126.437,26.435,3.147999999999996,-7.4360000000000035,8,1.0
131,131,2023-08-13 20:41:09,123.289,33.871,0.1490000000000009,0.05799999999999983,8,1.0
132,132,2023-08-14 11:02:09,123.14,33.813,-0.47400000000000375,0.7540000000000049,8,1.0
133,133,2023-08-14 20:42:09,123.614,33.059,0.6510000000000105,1.1849999999999987,8,1.0
134,134,2023-08-15 10:58:10,122.963,31.874,-1.8500000000000085,4.209,8,1.0
135,135,2023-08-15 20:47:10,124.813,27.665,0.025000000000005684,-0.17999999999999972,8,1.0
136,136,2023-08-16 10:43:10,124.788,27.845,1.277000000000001,-3.418000000000003,8,1.0
137,137,2023-08-16 20:47:10,123.511,31.263,0.15099999999999625,0.09700000000000131,8,1.0
138,138,2023-08-17 10:53:10,123.36,31.166,-1.972999999999999,4.837,8,1.0
139,139,2023-08-17 20:48:10,125.333,26.329,-0.2220000000000084,-0.8670000000000009,8,1.0
140,140,2023-08-18 10:37:10,125.555,27.196,-0.5949999999999989,1.4080000000000013,8,1.0
141,141,2023-08-18 20:46:10,126.15,25.788,0.2810000000000059,0.559000000000001,8,1.0
142,142,2023-08-19 10:32:11,125.869,25.229,-0.22100000000000364,0.3979999999999997,8,1.0
143,143,2023-08-19 20:48:11,126.09,24.831,-0.09600000000000364,-0.5480000000000018,8,1.0
144,144,2023-08-20 10:30:11,126.186,25.379,3.406000000000006,-9.341999999999995,8,1.0
145,145,2023-08-20 20:47:11,122.78,34.721,-0.09399999999999409,-0.527000000000001,8,1.0
146,146,2023-08-21 10:57:11,122.874,35.248,2.9059999999999917,-6.399000000000001,8,1.0
147,147,2023-08-21 20:46:11,119.968,41.647,0.7819999999999965,1.186,8,1.0
148,148,2023-08-22 11:20:11,119.186,40.461,-6.716999999999999,17.192999999999998,8,1.0
149,149,2023-08-22 20:52:11,125.903,23.268,2.035000000000011,7.157,8,1.0
150,150,2023-08-23 10:26:12,123.868,16.111,0.03300000000000125,-0.352999999999998,8,1.0
151,151,2023-08-23 21:08:12,123.835,16.464,-1.967000000000013,-7.530000000000001,8,1.0
152,152,2023-08-24 10:26:12,125.802,23.994,-0.21599999999999397,0.45899999999999963,8,1.0
153,153,2023-08-24 20:52:12,126.018,23.535,0.034000000000006025,-0.1739999999999995,8,1.0
154,154,2023-08-25 10:24:12,125.984,23.709,-0.4650000000000034,1.3949999999999996,8,1.0
155,155,2023-08-25 20:52:12,126.449,22.314,-0.08800000000000807,-0.6239999999999988,8,1.0
156,156,2023-08-26 10:20:12,126.537,22.938,0.16200000000000614,-0.9100000000000001,8,1.0
157,157,2023-08-26 20:51:13,126.375,23.848,0.036000000000001364,-0.18400000000000105,8,1.0
158,158,2023-08-27 10:21:13,126.339,24.032,-1.0889999999999986,3.975999999999999,8,1.0
159,159,2023-08-27 20:51:13,127.428,20.056,0.6619999999999919,2.556000000000001,8,1.0
160,160,2023-08-28 10:12:13,126.766,17.5,1.1620000000000061,-5.225000000000001,8,1.0
161,161,2023-08-28 20:56:13,125.604,22.725,2.1629999999999967,9.420000000000002,8,1.0
162,162,2023-08-29 10:21:13,123.441,13.305,0.1629999999999967,-1.0540000000000003,8,1.0
163,163,2023-08-29 21:13:13,123.278,14.359,-1.8349999999999937,-8.699,8,1.0
164,164,2023-08-30 10:22:13,125.113,23.058,0.2909999999999968,-1.5620000000000012,8,1.0
165,165,2023-08-30 20:58:14,124.822,24.62,-0.4620000000000033,-2.227999999999998,8,1.0
166,166,2023-08-31 10:24:14,125.284,26.848,1.0400000000000063,-4.287000000000003,8,1.0
167,167,2023-08-31 20:54:14,124.244,31.135,3.1650000000000063,13.026,8,1.0
